date,termName,type,classWeekday,classOrder,description
2026-04-01,春休み,0,,,
2026-04-02,春休み,0,,,
2026-04-03,春休み,0,,,
2026-04-04,春休み,0,,,
2026-04-05,春休み,0,,,
2026-04-06,春Aモジュール,0,,,入学式・新入生オリエンテーション
2026-04-07,春Aモジュール,0,,,新入生オリエンテーション
2026-04-08,春Aモジュール,0,,,新入生オリエンテーション
2026-04-09,春Aモジュール,0,,,オリエンテーション予備日
2026-04-10,春Aモジュール,0,,,オリエンテーション予備日
2026-04-11,春Aモジュール,0,,,
2026-04-12,春Aモジュール,0,,,
2026-04-13,春Aモジュール,0,,,オリエンテーション予備日
2026-04-14,春Aモジュール,1,2,1,
2026-04-15,春Aモジュール,1,3,1,
2026-04-16,春Aモジュール,1,4,1,
2026-04-17,春Aモジュール,1,5,1,
2026-04-18,春Aモジュール,0,,,
2026-04-19,春Aモジュール,0,,,
2026-04-20,春Aモジュール,1,1,1,
2026-04-21,春Aモジュール,1,2,2,
2026-04-22,春Aモジュール,1,3,2,
2026-04-23,春Aモジュール,1,4,2,
2026-04-24,春Aモジュール,1,5,2,
2026-04-25,春Aモジュール,0,,,
2026-04-26,春Aモジュール,0,,,
2026-04-27,春Aモジュール,1,1,2,
2026-04-28,春Aモジュール,1,2,3,
2026-04-29,春Aモジュール,0,,,昭和の日
2026-04-30,春Aモジュール,1,3,3,
2026-05-01,春Aモジュール,1,5,3,
2026-05-02,春Aモジュール,0,,,
2026-05-03,春Aモジュール,0,,,
2026-05-04,春Aモジュール,0,,,みどりの日
2026-05-05,春Aモジュール,0,,,こどもの日
2026-05-06,春Aモジュール,0,,,憲法記念日 振替休日
2026-05-07,春Aモジュール,1,4,3,
2026-05-08,春Aモジュール,1,1,3,
2026-05-09,春Aモジュール,0,,,
2026-05-10,春Aモジュール,0,,,
2026-05-11,春Aモジュール,1,1,4,
2026-05-12,春Aモジュール,1,2,4,
2026-05-13,春Aモジュール,1,3,4,
2026-05-14,春Aモジュール,1,4,4,
2026-05-15,春Aモジュール,1,5,4,
2026-05-16,春Aモジュール,0,,,
2026-05-17,春Aモジュール,0,,,
2026-05-18,春Aモジュール,1,1,5,
2026-05-19,春Aモジュール,1,2,5,
2026-05-20,春Aモジュール,1,3,5,
2026-05-21,春Aモジュール,1,4,5,
2026-05-22,春Aモジュール,1,5,5,
2026-05-23,春Aモジュール,0,,,
2026-05-24,春Aモジュール,0,,,
2026-05-25,春Aモジュール,3,,,
2026-05-26,春Bモジュール,1,2,1,
2026-05-27,春Bモジュール,1,3,1,
2026-05-28,春Bモジュール,1,4,1,
2026-05-29,春Bモジュール,1,5,1,
2026-05-30,春Bモジュール,0,,,
2026-05-31,春Bモジュール,0,,,
2026-06-01,春Bモジュール,1,1,1,
2026-06-02,春Bモジュール,1,2,2,
2026-06-03,春Bモジュール,1,3,2,
2026-06-04,春Bモジュール,1,4,2,
2026-06-05,春Bモジュール,1,5,2,
2026-06-06,春Bモジュール,0,,,
2026-06-07,春Bモジュール,0,,,
2026-06-08,春Bモジュール,1,1,2,
2026-06-09,春Bモジュール,1,2,3,
2026-06-10,春Bモジュール,1,3,3,
2026-06-11,春Bモジュール,1,4,3,
2026-06-12,春Bモジュール,1,5,3,
2026-06-13,春Bモジュール,0,,,
2026-06-14,春Bモジュール,0,,,
2026-06-15,春Bモジュール,1,1,3,
2026-06-16,春Bモジュール,1,2,4,
2026-06-17,春Bモジュール,1,3,4,
2026-06-18,春Bモジュール,1,4,4,
2026-06-19,春Bモジュール,1,5,4,
2026-06-20,春Bモジュール,0,,,
2026-06-21,春Bモジュール,0,,,
2026-06-22,春Bモジュール,1,1,4,
2026-06-23,春Bモジュール,1,2,5,
2026-06-24,春Bモジュール,1,3,5,
2026-06-25,春Bモジュール,1,4,5,
2026-06-26,春Bモジュール,1,5,5,
2026-06-27,春Bモジュール,0,,,
2026-06-28,春Bモジュール,0,,,
2026-06-29,春Bモジュール,1,1,5,
2026-06-30,春Bモジュール,3,,,
2026-07-01,春Bモジュール,3,,,
2026-07-02,春Cモジュール,1,4,1,
2026-07-03,春Cモジュール,1,5,1,
2026-07-04,春Cモジュール,0,,,
2026-07-05,春Cモジュール,0,,,
2026-07-06,春Cモジュール,1,1,1,
2026-07-07,春Cモジュール,1,2,1,
2026-07-08,春Cモジュール,1,3,1,
2026-07-09,春Cモジュール,1,4,2,
2026-07-10,春Cモジュール,1,5,2,
2026-07-11,春Cモジュール,0,,,
2026-07-12,春Cモジュール,0,,,
2026-07-13,春Cモジュール,1,1,2,
2026-07-14,春Cモジュール,1,2,2,
2026-07-15,春Cモジュール,1,3,2,
2026-07-16,春Cモジュール,1,4,3,
2026-07-17,春Cモジュール,1,5,3,
2026-07-18,春Cモジュール,0,,,
2026-07-19,春Cモジュール,0,,,
2026-07-20,春Cモジュール,0,,,海の日
2026-07-21,春Cモジュール,1,2,3,
2026-07-22,春Cモジュール,1,3,3,
2026-07-23,春Cモジュール,1,1,3,
2026-07-24,春Cモジュール,1,5,4,
2026-07-25,春Cモジュール,0,,,
2026-07-26,春Cモジュール,0,,,
2026-07-27,春Cモジュール,1,1,4,
2026-07-28,春Cモジュール,1,2,4,
2026-07-29,春Cモジュール,1,3,4,
2026-07-30,春Cモジュール,1,4,4,
2026-07-31,春Cモジュール,1,5,5,
2026-08-01,春Cモジュール,0,,,
2026-08-02,春Cモジュール,0,,,
2026-08-03,春Cモジュール,1,1,5,
2026-08-04,春Cモジュール,1,2,5,
2026-08-05,春Cモジュール,1,3,5,
2026-08-06,春Cモジュール,1,4,5,
2026-08-07,春Cモジュール,3,,,
2026-08-08,夏休み,0,,,
2026-08-09,夏休み,0,,,
2026-08-10,夏休み,0,,,
2026-08-11,夏休み,0,,,山の日
2026-08-12,夏休み,0,,,
2026-08-13,夏休み,0,,,
2026-08-14,夏休み,0,,,
2026-08-15,夏休み,0,,,
2026-08-16,夏休み,0,,,
2026-08-17,夏休み,0,,,
2026-08-18,夏休み,0,,,
2026-08-19,夏休み,0,,,
2026-08-20,夏休み,0,,,
2026-08-21,夏休み,0,,,
2026-08-22,夏休み,0,,,
2026-08-23,夏休み,0,,,
2026-08-24,夏休み,0,,,
2026-08-25,夏休み,0,,,
2026-08-26,夏休み,0,,,
2026-08-27,夏休み,0,,,
2026-08-28,夏休み,0,,,
2026-08-29,夏休み,0,,,
2026-08-30,夏休み,0,,,
2026-08-31,夏休み,0,,,
2026-09-01,夏休み,0,,,
2026-09-02,夏休み,0,,,
2026-09-03,夏休み,0,,,
2026-09-04,夏休み,0,,,
2026-09-05,夏休み,0,,,
2026-09-06,夏休み,0,,,
